1,"F. Archaux, Breeding upwards when climate is becoming warmer: no bird response in the French Alps. Ibis. 146, 138–144 (2003)."
2,"K. M. Alofs, D. A. Jackson, N. P. Lester, Ontario freshwater fishes demonstrate differing range-boundary shifts in a warming climate. Divers. Distrib. 20, 123–136 (2014)."
3,"C. L. Angelo, C. C. Daehler, Upward expansion of fire-adapted grasses along a warming tropical elevation gradient. Ecography. 36, 551–559 (2013)."
4,"J. Asher, R. Fox, M. S. Warren, British butterfly distributions and the 2010 target. J. Insect Conserv. 15, 291–299 (2011)."
5,"A. Bergamini, S. Ungricht, H. Hofmann, An elevational shift of cryophilous bryophytes in the last century - an effect of climate warming? Divers. Distrib. 15, 871–879 (2009)."
6,"J. Bodin et al., Shifts of forest species along an elevational gradient in Southeast France: climate change or stand maturation? J. Veg. Sci. 24, 269–283 (2013)."
7,"P. Betzholtz, L. B. Pettersson, N. Ryrholm, M. Franzen, With that diet, you will go far: trait-based analysis reveals a link between rapid range expansion and a nitrogen-favoured diet. Proc. R. Soc. B Biol. Sci. 280, 20122305 (2012)."
8,"J. E. Brommer, A. Lehikoinen, J. Valkama, The breeding ranges of central European and Arctic bird species move poleward. PLoS One. 7, e43648 (2012)."
9,"J. E. Brommer, The range margins of northern birds shift polewards. Ann. Zool. Fennici. 41, 391–397 (2004)."
10,"F. A. La Sorte, F. R. Thompson, Poleward shifts in winter ranges of North American birds. Ecology. 88, 1803–12 (2007)."
11,"L. Mair et al., Temporal variation in responses of species to four decades of climate warming. Glob. Change Biol. 18, 2439–2447 (2012)."
12,"S. M. Crimmins, S. Z. Dobrowski, J. A. Greenberg, J. T. Abatzoglou, A. R. Mynsberge, Changes in climatic water balance drive downhill shifts in plant species’ optimum elevations. Science. 331, 324–327 (2011)."
13,"L. Comte, G. Grenouillet, Do stream fish track climate change? Assessing distribution shifts in recent decades. Ecography. 36, 1236–1246 (2013)."
14,"V. A. Felde, J. Kapfer, J. Grytnes, Upward shift in elevational plant species ranges in Sikkilsdalen, central Norway. Ecography. 35, 922–932 (2012)."
15,"Y. Grewe, C. Hof, D. M. Dehling, R. Brandl, M. Brändle, Recent range shifts of European dragonflies provide support for an inverse relationship between habitat predictability and dispersal. Glob. Ecol. Biogeogr. 22, 403–409 (2013)."
